fixture_id,date,timestamp,status,elapsed,country,league_id,league,season,round,home,away,home_id,away_id,goals_home,goals_away,ht_home,ht_away,odds_h,odds_d,odds_a,odds_book,source
1897836,2026-09-16,,NS,,Rwanda,89,Championnat National,,3,Amagaju,Al-Merreikh,2996,3467,,,,,,,,live-score-api,live-score-api
1897837,2026-09-16,,NS,,Rwanda,89,Championnat National,,3,AS Kigali,Al Hilal Omdurman,2995,3466,,,,,,,,live-score-api,live-score-api
1897838,2026-09-16,,NS,,Uganda,81,Super League,,4,Lugazi,Police FC,8132,2980,,,,,,,,live-score-api,live-score-api
1897839,2026-09-16,,NS,,Uganda,81,Super League,,4,Mbarara City,Entebbe UPPC,2975,7055,,,,,,,,live-score-api,live-score-api
1897841,2026-09-16,,NS,,Burundi,477,Premier League,,6,Musongati,Le Messager Ngozi,6605,3796,,,,,,,,live-score-api,live-score-api
1895144,2026-09-16,,NS,,Egypt,36,Premier League,,5,El Gouna FC,Petrojet,2362,113,,,,,2.9,2.7,2.62,live-score-api,live-score-api
1900150,2026-09-16,,NS,,Angola,449,Garibola,,4,FC Bravos Do Maquis,Kabuscorp Palanca,6575,3004,,,,,,,,live-score-api,live-score-api
1900151,2026-09-16,,NS,,Angola,449,Garibola,,4,Sao Salvador,Petro Atletico,7850,3001,,,,,,,,live-score-api,live-score-api
1893635,2026-09-16,,NS,,Tunisia,42,Ligue I,,3,Ben Guerdane,CS Sfaxien,395,1287,,,,,,,,live-score-api,live-score-api
1899660,2026-09-16,,NS,,Tanzania,80,Premier League,,6,Azam FC,Simba SC,2929,2930,,,,,,,,live-score-api,live-score-api
1897870,2026-09-16,,NS,,Rwanda,89,Championnat National,,3,APR FC,Marines,2990,2992,,,,,,,,live-score-api,live-score-api
1895145,2026-09-16,,NS,,Egypt,36,Premier League,,5,ENPPI,Pyramids FC,108,2228,,,,,7.5,3.5,1.44,live-score-api,live-score-api
1895146,2026-09-16,,NS,,Egypt,36,Premier League,,5,Ghazl Al Mehalla,El Zamalek,6594,107,,,,,5,3.1,1.75,live-score-api,live-score-api
1897873,2026-09-16,,NS,,Botswana,456,Premier League,,3,Extension Gunners,Galaxy,8128,6586,,,,,,,,live-score-api,live-score-api
1897874,2026-09-16,,NS,,Botswana,456,Premier League,,3,Gaborone United,Botswana Police XI SC,7962,7959,,,,,,,,live-score-api,live-score-api
1884605,2026-09-16,,NS,,South Africa,41,Premier League,,6,Orlando Pirates,Durban City,1033,8114,,,,,,,,live-score-api,live-score-api
