Div,Date,Time,HomeTeam,AwayTeam
E0,12/09/2026,15:00,Crystal Palace FC,Ipswich Town FC
E0,12/09/2026,,Liverpool FC,Fulham FC
E0,12/09/2026,,Aston Villa FC,Nottingham Forest FC
E0,12/09/2026,,AFC Bournemouth,Brentford FC
E0,12/09/2026,,Chelsea FC,Hull City AFC
E0,12/09/2026,17:30,Tottenham Hotspur FC,Everton FC
E0,12/09/2026,20:00,Sunderland AFC,Arsenal FC
E0,13/09/2026,14:00,Coventry City FC,Brighton & Hove Albion FC
E0,13/09/2026,16:30,Manchester United FC,Manchester City FC
E0,14/09/2026,20:00,Leeds United FC,Newcastle United FC
E0,18/09/2026,20:00,Brentford FC,Chelsea FC
E0,19/09/2026,12:30,Tottenham Hotspur FC,Aston Villa FC
E0,19/09/2026,15:00,Everton FC,Ipswich Town FC
E0,19/09/2026,,Brighton & Hove Albion FC,Arsenal FC
E0,19/09/2026,,Newcastle United FC,Hull City AFC
E0,19/09/2026,17:30,Nottingham Forest FC,Coventry City FC
E0,20/09/2026,14:00,AFC Bournemouth,Liverpool FC
E0,20/09/2026,,Leeds United FC,Crystal Palace FC
E0,20/09/2026,,Manchester City FC,Sunderland AFC
E0,20/09/2026,16:30,Fulham FC,Manchester United FC
E1,08/09/2026,19:45,Blackburn Rovers FC,Sheffield United FC
E1,08/09/2026,,Southampton FC,Swansea City AFC
E1,08/09/2026,,Watford FC,Preston North End FC
E1,08/09/2026,,Cardiff City FC,Stoke City FC
E1,08/09/2026,,Wrexham AFC,Burnley FC
E1,08/09/2026,20:00,Bolton Wanderers FC,West Ham United FC
E1,09/09/2026,19:45,Derby County FC,West Bromwich Albion FC
E1,09/09/2026,,Norwich City FC,Birmingham City FC
E1,09/09/2026,20:00,Charlton Athletic FC,Queens Park Rangers FC
E1,11/09/2026,20:00,West Ham United FC,Wrexham AFC
E1,12/09/2026,12:30,Derby County FC,Birmingham City FC
E1,12/09/2026,,Bolton Wanderers FC,Cardiff City FC
